Team,PointsScored,PointsGivenUp,First Downs,NetYards,DYards,NetRushing,DRushing,NetPassing,DPassing,Punts,Possession,NumOfPlays,3rd Down %,Outcome
Cowboys,29,31,30,451,431,60,52,391,379,3,3427,77,52,0
Buccaneers,31,29,24,431,451,52,60,379,391,4,2533,64,45,1
Eagles,32,6,24,434,260,173,124,261,136,4,3102,67,46,1
Falcons,6,32,19,260,434,124,173,136,261,6,2858,64,21,0
Steelers,23,16,16,252,371,75,117,177,254,5,2643,55,33,1
Bills,16,23,22,371,252,117,75,254,177,3,3317,79,44,0
Jets,14,19,16,252,381,45,111,207,270,7,2840,60,30,0
Panthers,19,14,18,381,252,111,45,270,207,6,3120,63,28,1
Vikings,24,27,24,403,366,67,149,336,217,8,3509,75,37,0
Bengals,27,24,20,366,403,149,67,217,336,7,3451,68,21,1
49ers,41,33,21,442,430,131,116,311,314,2,2633,55,33,1
Lions,33,41,31,430,442,116,131,314,311,3,3327,84,26,0
Jaguars,21,37,20,395,449,76,160,319,289,6,2456,68,27,0
Texans,37,21,22,449,395,160,76,289,319,6,3504,75,57,1
Seahawks,28,16,18,381,336,140,113,241,223,5,2413,53,44,1
Colts,16,28,23,336,381,113,140,223,241,4,3547,71,38,0
Cardinals,38,13,22,416,248,136,86,280,162,3,3321,67,53,1
Titans,13,38,17,248,418,86,136,162,280,3,2639,64,35,0
Chargers,20,16,27,424,259,90,126,334,133,2,3603,78,73,1
Commanders,16,20,15,259,424,126,90,133,334,3,2357,49,30,0
Browns,29,33,24,457,397,153,73,304,324,1,2713,56,28,0
Chiefs,33,29,21,397,457,73,153,324,304,2,3247,61,69,1
Dolphins,17,16,16,259,393,74,125,185,268,4,2317,52,36,1
Patriots,16,17,24,393,259,125,74,268,185,2,3643,70,68,0
Packers,3,38,14,229,322,43,171,186,151,4,2524,52,10,0
Saints,38,3,22,322,229,171,43,151,186,2,3436,60,50,1
Broncos,27,13,24,420,314,165,60,255,254,2,3508,66,46,1
Giants,13,27,19,314,420,60,165,254,255,3,2452,59,50,0
Bears,14,34,24,322,386,134,74,188,312,1,3414,69,45,0
Rams,34,14,18,386,322,74,134,312,188,1,2446,50,54,1
Ravens,27,33,20,406,491,189,82,217,409,4,3214,67,25,0
Raiders,33,27,26,491,406,82,189,409,217,6,3408,80,46,1
Giants,29,30,21,391,407,163,87,228,320,3,3144,64,33,0
Commanders,30,29,25,407,291,87,163,320,228,4,2816,69,30,1
Saints,7,26,6,128,383,48,89,80,294,6,2128,43,18,0
Panthers,26,7,28,383,128,89,48,294,80,4,3832,73,53,1
Bengals,17,20,14,248,206,69,123,179,83,2,2839,55,46,1
Bears,20,17,16,206,248,123,69,83,179,4,3121,61,40,0
Texans,21,31,17,302,355,82,156,220,199,4,2455,58,57,0
Bronwns,31,21,22,355,302,156,82,199,220,2,3505,57,44,1
Rams,27,24,21,371,354,101,109,270,245,3,2828,60,33,1
Colts,24,27,22,354,371,109,101,245,270,2,3132,65,45,0
Broncos,23,13,22,398,189,96,75,302,114,4,3852,67,18,1
Jaguars,13,23,12,189,198,75,96,114,302,4,2108,50,36,0
Bills,35,0,21,314,216,143,71,171,145,4,2826,64,53,1
Dolphins,0,35,13,216,314,71,143,145,171,5,3134,70,44,0
Patriots,25,6,17,260,336,101,152,159,184,5,2752,57,25,1
Jets,6,25,18,336,260,152,101,184,159,1,3208,68,38,0
49ers,17,11,23,306,328,117,151,189,177,5,3454,68,42,1
Eagles,11,17,18,328,306,151,117,177,189,4,2506,55,41,0
Raiders,26,17,22,425,331,52,39,373,292,4,3422,64,38,1
Steelers,17,26,17,331,425,39,52,292,373,4,2538,56,41,0
Vikings,33,34,22,419,474,177,103,242,371,5,2808,60,20,0
Cardinals,34,33,21,474,419,103,177,371,242,4,3152,60,33,1
Falcons,25,48,19,348,341,55,82,293,259,4,3331,69,40,0
Buccaneers,48,25,21,341,348,82,55,259,293,4,2629,60,33,1
Cowboys,20,17,25,419,408,198,95,221,313,1,2903,60,60,1
Chargers,17,20,24,408,419,95,198,313,221,0,3057,62,41,0
Titans,33,30,33,532,397,212,77,320,320,2,4233,83,42,1
Seahawks,30,33,17,397,532,77,212,320,320,6,2242,52,33,0
Chiefs,35,36,22,405,481,62,251,343,230,3,2401,49,16,0
Ravens,36,35,31,481,405,251,62,230,343,2,3559,68,54,1
Lions,17,35,19,344,323,108,96,236,227,2,2635,56,44,0
Packers,35,17,25,323,344,96,108,227,236,3,3325,61,55,1